commune,city_label,wikidata_id,type_label,continent,contientLabel,pays,paysLabel,communauteAutonome,province_label,coordonnees,latitude,longitude,elevation,pointCulminant,pointCulminantLabel,superficie,population
http://www.wikidata.org/entity/Q322064,Abla,Q322064,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.777222222 37.142222222),37.142222222,-2.777222222,861,,,45.24,1268
http://www.wikidata.org/entity/Q1110408,Abrucena,Q1110408,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.783333333 37.133333333),37.133333333,-2.783333333,978,,,83,1241
http://www.wikidata.org/entity/Q49562,Adra,Q49562,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-3.016666666 36.75),36.75,-3.016666666,20,,,90.05,25501
http://www.wikidata.org/entity/Q1358190,Albanchez,Q1358190,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.1813585 37.2868617),37.2868617,-2.1813585,465,,,35,688
http://www.wikidata.org/entity/Q1444150,Alboloduy,Q1444150,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.62164 37.03346),37.03346,-2.62164,377,,,70,579
http://www.wikidata.org/entity/Q1404671,Albox,Q1404671,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.133333333 37.383333333),37.383333333,-2.133333333,420,,,168,12799
http://www.wikidata.org/entity/Q1444083,Alcolea,Q1444083,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.95 36.966666666),36.966666666,-2.95,736,,,67,829
http://www.wikidata.org/entity/Q596058,Alcudia de Monteagud,Q596058,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.2671732 37.2360207),37.2360207,-2.2671732,1010,,,15,115
http://www.wikidata.org/entity/Q1370152,Alcóntar,Q1370152,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.597222222 37.336111111),37.336111111,-2.597222222,959,,,94,545
http://www.wikidata.org/entity/Q1444015,Alhabia,Q1444015,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.586758 36.9898102),36.9898102,-2.586758,295,,,16,743
http://www.wikidata.org/entity/Q583010,Alhama de Almería,Q583010,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.5667688 36.9574546),36.9574546,-2.5667688,520,,,26,3975
http://www.wikidata.org/entity/Q1358253,Alicún,Q1358253,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.601944444 36.966388888),36.966388888,-2.601944444,420,,,6,206
http://www.wikidata.org/entity/Q10400,Almería,Q10400,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.463888888 36.841666666),36.841666666,-2.463888888,20,,,296216940,205468
http://www.wikidata.org/entity/Q736985,Almócita,Q736985,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.7898885 37.0024944),37.0024944,-2.7898885,835,,,30,208
http://www.wikidata.org/entity/Q1444197,Alsodux,Q1444197,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.5940967 37.0026292),37.0026292,-2.5940967,310,,,20,126
http://www.wikidata.org/entity/Q1444119,Antas,Q1444119,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-1.9181629 37.2452206),37.2452206,-1.9181629,108,,,100,3472
http://www.wikidata.org/entity/Q1157985,Arboleas,Q1157985,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.0742569 37.3511387),37.3511387,-2.0742569,278,,,25.1,4215
http://www.wikidata.org/entity/Q1358156,Armuña de Almanzora,Q1358156,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.4151256 37.3501535),37.3501535,-2.4151256,624,,,8,371
http://www.wikidata.org/entity/Q1157977,Bacares,Q1157977,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.454722222 37.260555555),37.260555555,-2.454722222,1206,,,95,226
http://www.wikidata.org/entity/Q5717072,Balanegra,Q5717072,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.908333333 36.746666666),36.746666666,-2.908333333,,,,,3055
http://www.wikidata.org/entity/Q1358082,Bayarque,Q1358082,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.4359436 37.3306886),37.3306886,-2.4359436,817,,,27,215
http://www.wikidata.org/entity/Q1358116,Bayárcal,Q1358116,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.9953433 37.0301069),37.0301069,-2.9953433,1258,,,37,294
http://www.wikidata.org/entity/Q967096,Beires,Q967096,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.7909185 37.0120901),37.0120901,-2.7909185,909,,,39,140
http://www.wikidata.org/entity/Q1157968,Benahadux,Q1157968,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.460209 36.9251533),36.9251533,-2.460209,113,,,16.62,4901
http://www.wikidata.org/entity/Q1161460,Benitagla,Q1161460,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.2388276 37.231801),37.231801,-2.2388276,950,,,7,63
http://www.wikidata.org/entity/Q1444189,Benizalón,Q1444189,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.2419032 37.2121012),37.2121012,-2.2419032,936,,,32,242
http://www.wikidata.org/entity/Q1358058,Bentarique,Q1358058,city,,,http://www.wikidata.org/entity/Q29,Espagne,Andalousie,Almeria,Point(-2.6195624 36.9865695),36.9865695,-2.6195624,324,,,11,223
