espace,space_label,wikidata_id,type_label,communaute_label,province_label,coordonnees,area,visiteurs,climatLabel
http://www.wikidata.org/entity/Q463141,Doñana,Q463141,parque nacional,Andalucía,,Point(-6.44 37.02),53303.56529,392958,clima mediterráneo
http://www.wikidata.org/entity/Q463141,Doñana,Q463141,parque nacional,Andalucía,,Point(-6.44 37.02),54252,392958,clima mediterráneo
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Almería,Point(-3.09 37.1),862,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Granada,Point(-3.09 37.1),862,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Almería,Point(-3.09 37.1),85882.89465,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Granada,Point(-3.09 37.1),85882.89465,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Almería,Point(-3.09 37.1),86208,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Granada,Point(-3.09 37.1),86208,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Almería,Point(-3.09 37.1),172238.05,780702,
http://www.wikidata.org/entity/Q1969050,Parque nacional y natural de Sierra Nevada,Q1969050,parque nacional,Andalucía,provincia de Granada,Point(-3.09 37.1),172238.05,780702,
http://www.wikidata.org/entity/Q3108464,Estrecho,Q3108464,parque natural,Andalucía,,Point(-5.64083333 36.03111111),189.31,,
http://www.wikidata.org/entity/Q3108464,Estrecho,Q3108464,parque natural,Andalucía,,Point(-5.64083333 36.03111111),18932.24483,,
