fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-08-01,5000C,CEUTA,CEUTA,87,28.9,0.0,23.4,23:59,34.4,14:40,29,3.6,13.9,13:50,12.8,1005.8,11,1001.7,18,28.0,51.0,23:59,13.0,18:20
2023-08-02,5000C,CEUTA,CEUTA,87,28.2,0.0,23.2,00:20,33.1,14:50,30,3.3,16.4,23:00,12.7,1003.2,10,1000.6,17,42.0,57.0,05:40,22.0,17:00
2023-08-03,5000C,CEUTA,CEUTA,87,26.9,0.0,24.3,05:30,29.5,12:20,28,3.6,13.1,00:10,12.7,1004.4,11,1001.7,17,47.0,73.0,05:40,12.0,18:10
2023-08-04,5000C,CEUTA,CEUTA,87,27.7,0.0,23.4,19:10,32.0,11:50,30,2.2,14.2,01:10,11.3,1007.8,24,1002.2,03,58.0,93.0,,29.0,00:00
2023-08-05,5000C,CEUTA,CEUTA,87,25.7,0.0,23.1,23:30,28.3,13:40,99,4.4,10.0,,10.3,1008.0,08,1004.8,18,82.0,95.0,02:40,68.0,13:40
2023-08-06,5000C,CEUTA,CEUTA,87,25.1,0.0,22.7,05:40,27.5,11:50,14,3.3,7.2,10:00,8.3,1006.4,10,1003.7,18,86.0,97.0,23:59,75.0,11:50
2023-08-07,5000C,CEUTA,CEUTA,87,25.6,0.0,22.7,00:10,28.5,13:20,11,4.7,9.7,12:50,9.0,1007.4,11,1004.6,02,85.0,98.0,,74.0,
2023-08-08,5000C,CEUTA,CEUTA,87,25.3,0.0,22.4,22:40,28.2,14:10,10,3.3,7.8,11:30,6.5,1007.2,24,1005.0,18,88.0,97.0,23:30,75.0,14:00
2023-08-09,5000C,CEUTA,CEUTA,87,25.2,0.0,22.4,00:10,28.1,14:40,18,2.8,6.4,17:50,9.0,1009.0,,1006.4,03,84.0,97.0,00:00,72.0,14:40
2023-08-10,5000C,CEUTA,CEUTA,87,26.4,0.0,22.5,04:00,30.3,23:20,16,1.7,5.8,11:00,11.3,1009.6,07,1006.8,,75.0,95.0,05:10,32.0,22:50
2023-08-11,5000C,CEUTA,CEUTA,87,31.9,0.0,23.9,21:00,39.9,10:40,30,2.8,10.6,10:50,10.7,1010.6,23,1006.4,04,63.0,98.0,22:30,13.0,09:50
2023-08-12,5000C,CEUTA,CEUTA,87,26.2,0.0,23.8,07:50,28.6,15:50,16,2.5,5.8,14:00,9.7,1010.3,00,1006.0,,82.0,96.0,00:00,71.0,15:20
2023-08-13,5000C,CEUTA,CEUTA,87,25.5,0.0,22.5,06:20,28.5,12:20,99,2.2,6.1,,9.3,1007.2,10,1004.2,17,85.0,98.0,06:30,72.0,12:20
2023-08-14,5000C,CEUTA,CEUTA,87,25.6,0.0,22.5,06:50,28.7,13:10,18,2.2,6.1,18:20,9.1,1005.2,10,1002.6,18,83.0,98.0,,70.0,12:30
2023-08-15,5000C,CEUTA,CEUTA,87,25.3,0.0,22.3,06:10,28.3,15:00,18,2.2,6.4,16:30,11.5,1005.2,10,1002.6,18,82.0,92.0,02:40,69.0,09:00
2023-08-16,5000C,CEUTA,CEUTA,87,27.0,0.0,20.2,06:00,33.8,14:40,25,1.1,6.9,13:30,12.0,1005.1,10,1003.0,18,59.0,91.0,00:00,29.0,14:10
2023-08-17,5000C,CEUTA,CEUTA,87,28.0,0.0,21.2,05:40,34.7,15:00,99,1.7,6.1,,12.4,1004.8,10,1002.5,18,39.0,63.0,05:40,19.0,14:50
2023-08-18,5000C,CEUTA,CEUTA,87,30.2,0.0,23.2,02:40,37.2,14:20,31,1.9,8.3,14:00,11.4,1005.0,11,1003.2,04,20.0,39.0,02:10,7.0,13:50
2023-08-19,5000C,CEUTA,CEUTA,87,31.2,0.0,26.2,01:20,36.3,12:40,31,1.4,6.7,04:10,11.2,1006.5,,1003.8,04,32.0,59.0,20:00,25.0,12:40
2023-08-20,5000C,CEUTA,CEUTA,87,25.7,0.0,21.8,02:50,29.6,14:20,15,1.7,5.8,14:50,11.1,1009.1,24,1006.5,00,80.0,95.0,23:50,55.0,08:30
2023-08-21,5000C,CEUTA,CEUTA,87,25.4,0.0,22.3,10:20,28.4,14:40,08,2.2,6.9,14:40,4.4,1009.5,10,1006.6,17,90.0,98.0,23:50,79.0,14:30
2023-08-22,5000C,CEUTA,CEUTA,87,25.9,0.0,23.4,00:00,28.4,14:50,08,3.6,7.8,17:10,5.9,1007.0,00,1004.2,17,87.0,98.0,00:40,78.0,14:30
2023-08-23,5000C,CEUTA,CEUTA,87,26.6,0.0,24.0,04:30,29.3,13:30,13,3.3,6.9,14:10,9.3,1005.8,11,1003.9,05,82.0,94.0,23:40,71.0,13:50
2023-08-24,5000C,CEUTA,CEUTA,87,26.7,0.0,24.6,03:40,28.8,11:40,15,2.5,5.0,12:20,10.1,1005.8,11,1004.0,18,86.0,95.0,,75.0,11:30
2023-08-25,5000C,CEUTA,CEUTA,87,26.2,0.0,24.2,06:10,28.3,14:00,16,3.6,7.2,15:30,11.4,1005.5,00,1001.9,18,83.0,92.0,,76.0,13:50
2023-08-26,5000C,CEUTA,CEUTA,87,28.8,0.0,22.9,06:10,34.6,15:20,31,3.9,17.5,18:00,6.7,1003.1,00,1000.0,18,44.0,94.0,00:40,21.0,17:40
2023-08-27,5000C,CEUTA,CEUTA,87,24.6,0.0,21.2,06:00,28.1,00:00,25,4.2,15.3,00:20,11.8,1007.6,22,1001.5,02,42.0,61.0,01:50,28.0,
2023-08-28,5000C,CEUTA,CEUTA,87,25.0,0.0,21.2,22:20,28.8,14:00,29,1.7,8.6,00:30,11.8,1008.7,10,1005.3,24,54.0,89.0,21:40,27.0,07:20
2023-08-29,5000C,CEUTA,CEUTA,87,25.3,0.0,20.5,01:00,30.1,,29,1.4,11.7,23:20,11.7,1005.3,00,999.6,24,59.0,89.0,00:10,27.0,
2023-08-30,5000C,CEUTA,CEUTA,87,26.2,0.0,21.7,23:20,30.7,12:50,29,3.3,14.7,14:50,11.7,1004.0,24,998.7,04,41.0,60.0,23:59,27.0,00:00
2023-08-31,5000C,CEUTA,CEUTA,87,24.1,0.0,20.8,07:10,27.4,14:00,10,2.2,6.7,14:10,9.3,1007.6,11,1003.7,01,81.0,95.0,07:20,60.0,00:00
2023-09-01,5000C,CEUTA,CEUTA,87,24.6,0.0,22.3,00:50,26.9,14:40,24,2.2,8.6,22:50,6.7,1007.1,00,1003.5,19,86.0,96.0,03:00,48.0,23:00
2023-09-02,5000C,CEUTA,CEUTA,87,23.5,6.4,21.0,01:20,26.0,10:00,29,2.2,10.8,14:30,6.9,1004.4,00,1000.0,19,63.0,82.0,01:20,50.0,10:00
2023-09-03,5000C,CEUTA,CEUTA,87,22.0,2.2,18.6,23:50,25.5,11:10,26,2.5,11.4,18:30,5.9,1002.1,23,997.7,04,77.0,93.0,03:30,60.0,11:30
2023-09-04,5000C,CEUTA,CEUTA,87,22.7,0.0,18.2,04:30,27.2,12:50,07,1.4,7.5,14:40,11.0,1005.9,24,1001.3,01,67.0,91.0,03:40,52.0,12:30
2023-09-05,5000C,CEUTA,CEUTA,87,23.7,0.0,19.6,05:50,27.8,16:50,25,1.7,5.8,01:30,9.7,1006.1,09,1004.2,17,65.0,81.0,05:00,51.0,11:30
2023-09-06,5000C,CEUTA,CEUTA,87,23.8,0.0,20.3,04:40,27.2,12:40,10,2.2,5.6,13:30,10.3,1006.8,09,1005.2,,74.0,89.0,23:40,52.0,12:00
2023-09-07,5000C,CEUTA,CEUTA,87,25.0,0.0,22.6,23:10,27.3,11:10,99,2.8,7.5,,7.2,1007.7,11,1005.5,03,85.0,95.0,23:40,75.0,10:30
2023-09-08,5000C,CEUTA,CEUTA,87,25.0,0.0,22.5,00:50,27.4,12:20,11,3.1,7.2,12:00,7.8,1007.1,09,1005.2,18,82.0,96.0,01:00,69.0,12:00
2023-09-09,5000C,CEUTA,CEUTA,87,24.5,0.0,21.9,,27.1,15:00,10,1.9,5.6,15:10,7.0,1007.3,22,1004.8,05,87.0,97.0,06:50,64.0,15:00
2023-09-10,5000C,CEUTA,CEUTA,87,23.4,0.0,21.2,23:50,25.7,14:20,08,1.9,5.3,11:30,6.4,1007.5,23,1005.2,05,87.0,98.0,,79.0,14:20
2023-09-11,5000C,CEUTA,CEUTA,87,25.0,0.0,20.2,05:30,29.7,14:00,26,1.4,8.9,22:40,10.9,1007.2,00,1003.6,18,57.0,92.0,01:10,42.0,14:30
2023-09-12,5000C,CEUTA,CEUTA,87,24.8,0.0,21.3,06:00,28.2,11:40,30,3.1,9.7,10:50,11.2,1005.8,10,1003.1,18,60.0,79.0,06:00,45.0,14:50
2023-09-13,5000C,CEUTA,CEUTA,87,24.4,0.0,21.4,00:00,27.5,13:00,29,1.7,7.2,03:00,10.8,1006.2,10,1003.6,,54.0,77.0,23:59,47.0,15:50
2023-09-14,5000C,CEUTA,CEUTA,87,24.6,0.0,21.9,21:00,27.4,12:10,10,3.6,9.7,15:00,6.2,1005.8,00,1002.5,16,86.0,95.0,,75.0,11:50
2023-09-15,5000C,CEUTA,CEUTA,87,25.0,0.0,21.4,22:50,28.5,13:50,31,3.1,11.7,15:10,8.3,1003.4,22,1000.2,16,76.0,96.0,,57.0,14:10
2023-09-16,5000C,CEUTA,CEUTA,87,24.0,0.0,19.3,06:10,28.7,12:50,34,1.7,7.5,15:30,7.0,1003.3,22,1000.8,,67.0,84.0,03:00,52.0,12:50
2023-09-17,5000C,CEUTA,CEUTA,87,23.6,0.0,20.7,21:00,26.5,10:00,31,2.2,11.9,14:40,6.3,1008.0,22,1001.6,04,70.0,80.0,11:00,52.0,17:20
2023-09-18,5000C,CEUTA,CEUTA,87,23.8,0.0,19.4,02:50,28.2,13:40,32,2.5,8.6,05:20,10.2,1009.4,10,1006.5,04,54.0,81.0,02:40,30.0,15:40
2023-09-19,5000C,CEUTA,CEUTA,87,23.6,0.0,18.8,05:40,28.4,12:40,16,3.1,10.0,17:30,10.6,1008.2,00,1004.9,15,56.0,75.0,21:10,32.0,11:50
2023-09-20,5000C,CEUTA,CEUTA,87,23.4,0.0,19.2,,27.5,12:10,30,2.8,11.7,18:10,11.0,1006.8,10,1004.2,18,56.0,76.0,03:00,43.0,10:10
2023-09-21,5000C,CEUTA,CEUTA,87,23.0,0.4,20.1,03:00,25.8,13:10,26,3.1,12.2,12:10,9.7,1006.0,10,1003.4,18,61.0,77.0,,48.0,
2023-09-22,5000C,CEUTA,CEUTA,87,22.0,0.0,19.4,23:50,24.7,14:30,99,2.5,9.2,,9.3,1006.7,22,1002.1,02,63.0,89.0,04:00,40.0,11:40
2023-09-23,5000C,CEUTA,CEUTA,87,21.5,0.0,18.2,06:10,24.8,13:00,11,2.2,8.1,15:20,10.8,1009.2,22,1005.0,04,63.0,90.0,23:40,47.0,12:50
2023-09-24,5000C,CEUTA,CEUTA,87,23.2,0.0,20.8,04:00,25.6,11:00,10,5.0,10.8,10:50,8.5,1010.2,,1008.3,03,81.0,94.0,04:30,70.0,12:40
2023-09-25,5000C,CEUTA,CEUTA,87,22.6,0.0,20.7,,24.4,16:00,08,3.9,8.6,13:30,6.9,1009.8,10,1008.1,04,86.0,93.0,,78.0,15:40
2023-09-26,5000C,CEUTA,CEUTA,87,23.2,0.0,20.8,,25.7,14:30,10,4.2,8.6,09:10,10.2,1010.5,10,1008.0,17,83.0,97.0,01:30,68.0,12:20
2023-09-27,5000C,CEUTA,CEUTA,87,22.3,0.0,20.4,05:20,24.2,16:00,07,4.2,9.2,13:00,7.9,1010.3,10,1008.1,,87.0,97.0,05:30,78.0,
2023-09-28,5000C,CEUTA,CEUTA,87,23.0,0.0,20.1,05:30,25.8,13:00,12,3.6,8.3,11:30,5.9,1009.9,,1007.8,03,84.0,98.0,04:30,70.0,12:50
