altitud,dir,fecha,horaHrMax,horaHrMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,provincia,racha,tmax,tmed,tmin,velmedia
105.0,15.0,2026-01-01,Varias,14:20,23:00,13:53,03:22,90.0,78.0,69.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,12.2,17.3,14.4,11.6,4.2
105.0,14.0,2026-01-02,00:00,18:00,07:20,14:02,04:26,76.0,63.0,55.0,5891X,LAS CABEZAS DE SAN JUAN,0.2,SEVILLA,14.2,17.9,15.8,13.8,7.2
105.0,16.0,2026-01-03,Varias,00:40,14:20,12:03,Varias,94.0,84.0,66.0,5891X,LAS CABEZAS DE SAN JUAN,12.6,SEVILLA,10.0,16.9,14.8,12.8,3.3
105.0,99.0,2026-01-04,Varias,Varias,15:40,00:01,23:58,98.0,96.0,94.0,5891X,LAS CABEZAS DE SAN JUAN,26.2,SEVILLA,11.4,12.8,11.3,9.8,3.6
105.0,33.0,2026-01-05,08:30,22:50,17:30,15:02,23:58,100.0,88.0,69.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,9.2,14.1,9.6,5.1,1.9
105.0,3.0,2026-01-06,07:20,14:50,12:10,14:52,06:58,92.0,69.0,47.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,6.4,10.9,6.0,1.0,1.9
105.0,12.0,2026-01-07,Varias,12:40,20:20,14:02,06:10,96.0,80.0,48.0,5891X,LAS CABEZAS DE SAN JUAN,0.4,SEVILLA,5.0,10.6,5.0,-0.5,0.8
105.0,99.0,2026-01-08,Varias,14:30,Varias,14:35,20:20,97.0,88.0,75.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,3.9,11.4,8.7,6.0,0.6
105.0,22.0,2026-01-09,01:30,Varias,12:40,12:56,00:09,98.0,90.0,85.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,5.8,14.2,10.0,5.8,1.4
105.0,1.0,2026-01-10,Varias,14:50,11:20,14:53,07:38,100.0,82.0,59.0,5891X,LAS CABEZAS DE SAN JUAN,0.2,SEVILLA,4.7,14.6,9.2,3.8,0.8
105.0,99.0,2026-01-11,Varias,14:40,Varias,14:45,01:17,96.0,81.0,58.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,6.1,15.3,10.0,4.7,1.9
105.0,23.0,2026-01-12,04:50,Varias,16:20,14:55,04:07,96.0,80.0,58.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,6.7,18.1,11.2,4.3,1.4
105.0,19.0,2026-01-13,20:50,09:10,13:30,Varias,04:05,96.0,74.0,57.0,5891X,LAS CABEZAS DE SAN JUAN,20.4,SEVILLA,15.3,17.1,13.6,10.2,5.8
105.0,18.0,2026-01-14,Varias,15:40,00:10,15:52,23:58,97.0,86.0,69.0,5891X,LAS CABEZAS DE SAN JUAN,3.6,SEVILLA,5.0,16.0,12.2,8.5,1.1
105.0,99.0,2023-02-02,06:20,16:30,Varias,16:31,07:13,90.0,62.0,36.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,4.2,17.7,9.9,2.1,1.4
105.0,15.0,2023-02-03,07:50,16:20,23:50,15:35,07:16,95.0,63.0,35.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,5.0,18.8,10.3,1.8,1.1
105.0,3.0,2023-02-04,04:40,16:20,14:50,15:19,04:32,78.0,53.0,34.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,6.1,19.6,11.2,2.7,1.4
105.0,14.0,2023-02-05,08:00,16:40,22:10,15:56,06:23,89.0,63.0,38.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,3.6,19.8,10.4,1.1,1.1
105.0,13.0,2023-02-06,21:00,13:20,23:20,15:34,07:40,87.0,60.0,42.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,6.7,18.8,11.1,3.4,1.7
105.0,14.0,2023-02-07,Varias,13:20,00:20,13:16,03:02,94.0,80.0,55.0,5891X,LAS CABEZAS DE SAN JUAN,2.4,SEVILLA,6.9,17.2,12.5,7.8,0.6
105.0,14.0,2023-02-08,01:50,12:10,15:10,11:56,01:09,93.0,80.0,65.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,9.2,14.8,10.6,6.3,3.1
105.0,15.0,2023-02-09,02:30,13:20,17:10,12:53,24:00,92.0,67.0,50.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,7.8,18.7,13.1,7.5,2.5
105.0,11.0,2023-02-10,01:20,14:40,14:50,13:32,02:21,85.0,58.0,45.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,12.2,16.4,11.4,6.3,3.6
105.0,14.0,2023-02-11,05:50,14:30,13:20,14:21,06:36,78.0,58.0,40.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,12.2,17.7,12.6,7.4,4.4
105.0,14.0,2023-02-12,04:20,14:20,19:40,14:11,04:12,76.0,56.0,40.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,8.3,20.4,13.4,6.3,1.9
105.0,13.0,2023-02-13,03:40,15:30,00:20,15:25,03:08,79.0,57.0,41.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,7.2,20.8,13.8,6.7,2.2
105.0,14.0,2023-02-14,04:10,13:40,19:00,13:57,04:16,80.0,64.0,52.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,11.7,18.7,12.6,6.5,4.7
105.0,15.0,2023-02-15,08:30,14:30,00:10,14:40,07:16,81.0,63.0,46.0,5891X,LAS CABEZAS DE SAN JUAN,0.0,SEVILLA,8.6,20.6,14.4,8.2,1.7
