altitud,dir,fecha,horaHrMax,horaHrMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,provincia,racha,tmax,tmed,tmin,velmedia
6.0,23.0,2026-01-01,18:50,10:20,16:30,14:40,04:00,86.0,78.0,72.0,C689E,MASPALOMAS,0.4,LAS PALMAS,12.2,21.4,19.0,16.7,4.4
6.0,26.0,2026-01-02,13:00,21:10,15:30,15:10,13:00,87.0,82.0,65.0,C689E,MASPALOMAS,0.8,LAS PALMAS,18.9,21.6,20.2,18.9,7.8
6.0,26.0,2026-01-03,06:40,15:10,06:30,15:30,23:59,78.0,72.0,64.0,C689E,MASPALOMAS,0.0,LAS PALMAS,16.1,22.2,19.8,17.3,6.7
6.0,26.0,2026-01-04,Varias,10:50,04:00,12:50,07:50,81.0,75.0,66.0,C689E,MASPALOMAS,0.0,LAS PALMAS,7.2,21.9,19.1,16.3,1.1
6.0,6.0,2026-01-05,Varias,21:50,20:00,14:00,05:40,82.0,73.0,64.0,C689E,MASPALOMAS,0.2,LAS PALMAS,11.4,21.4,18.4,15.5,2.2
6.0,6.0,2026-01-06,19:40,11:40,12:50,12:40,09:00,71.0,57.0,44.0,C689E,MASPALOMAS,0.0,LAS PALMAS,16.7,21.8,18.3,14.8,6.9
6.0,6.0,2026-01-07,11:40,07:10,16:00,15:40,08:40,62.0,50.0,41.0,C689E,MASPALOMAS,0.0,LAS PALMAS,15.3,20.1,17.1,14.1,6.4
6.0,4.0,2026-01-08,23:50,14:40,00:10,13:20,23:59,64.0,58.0,53.0,C689E,MASPALOMAS,0.0,LAS PALMAS,13.3,19.8,17.0,14.1,7.2
6.0,8.0,2026-01-09,00:20,05:40,16:20,12:00,07:00,65.0,46.0,30.0,C689E,MASPALOMAS,0.0,LAS PALMAS,12.2,19.4,15.7,12.0,5.3
6.0,6.0,2026-01-10,00:30,10:00,14:30,12:50,01:10,66.0,54.0,43.0,C689E,MASPALOMAS,0.0,LAS PALMAS,13.3,21.4,18.0,14.7,3.9
6.0,8.0,2026-01-11,Varias,09:30,14:30,12:20,07:00,72.0,66.0,55.0,C689E,MASPALOMAS,0.0,LAS PALMAS,12.5,20.9,17.2,13.4,4.7
6.0,8.0,2026-01-12,Varias,13:50,12:00,13:20,08:10,78.0,64.0,53.0,C689E,MASPALOMAS,0.0,LAS PALMAS,5.8,20.7,16.8,13.0,3.1
