altitud,dir,fecha,horaHrMax,horaHrMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,provincia,racha,tmax,tmed,tmin,velmedia
736.0,33.0,2026-01-01,Varias,13:40,14:40,23:52,09:26,100.0,97.0,92.0,2401X,PALENCIA,0.0,PALENCIA,3.3,3.1,0.8,-1.4,0.6
736.0,5.0,2026-01-02,Varias,Varias,07:10,13:55,06:41,99.0,91.0,84.0,2401X,PALENCIA,1.6,PALENCIA,3.3,8.2,5.4,2.7,0.3
736.0,7.0,2026-01-03,Varias,23:10,21:40,13:54,23:58,100.0,94.0,83.0,2401X,PALENCIA,0.4,PALENCIA,8.6,11.1,7.2,3.4,0.8
736.0,4.0,2026-01-04,02:50,11:50,16:20,00:01,23:34,88.0,70.0,59.0,2401X,PALENCIA,0.0,PALENCIA,10.8,3.4,0.2,-2.9,3.3
736.0,8.0,2026-01-05,23:30,16:20,11:00,11:13,23:57,92.0,66.0,56.0,2401X,PALENCIA,0.0,PALENCIA,7.5,3.1,-1.5,-6.1,1.9
736.0,33.0,2026-01-06,04:20,14:10,12:10,14:15,07:32,97.0,73.0,43.0,2401X,PALENCIA,0.0,PALENCIA,8.9,5.5,-0.5,-6.5,1.4
736.0,27.0,2026-01-07,08:10,14:50,22:30,14:46,Varias,99.0,87.0,73.0,2401X,PALENCIA,0.0,PALENCIA,10.3,7.7,2.1,-3.5,1.9
736.0,24.0,2026-01-08,Varias,14:20,23:20,23:28,03:22,100.0,95.0,80.0,2401X,PALENCIA,0.0,PALENCIA,14.4,8.6,4.0,-0.7,2.8
736.0,29.0,2026-01-09,01:40,14:50,15:00,14:33,23:58,94.0,71.0,51.0,2401X,PALENCIA,0.0,PALENCIA,14.7,10.2,6.1,2.0,6.7
736.0,28.0,2026-01-10,08:40,14:50,02:00,14:29,08:11,95.0,76.0,61.0,2401X,PALENCIA,0.0,PALENCIA,10.0,8.0,3.2,-1.7,3.3
736.0,21.0,2026-01-11,03:30,Varias,11:30,21:23,01:19,97.0,94.0,89.0,2401X,PALENCIA,0.0,PALENCIA,5.6,8.4,4.0,-0.5,1.7
736.0,22.0,2026-01-12,23:59,13:50,10:20,13:48,23:38,97.0,81.0,69.0,2401X,PALENCIA,0.0,PALENCIA,9.2,11.6,7.6,3.7,1.7
736.0,16.0,2026-01-13,01:50,11:30,11:10,14:23,01:27,100.0,80.0,67.0,2401X,PALENCIA,0.8,PALENCIA,8.6,10.6,6.4,2.2,1.9
736.0,99.0,2026-01-14,08:30,14:00,Varias,14:20,08:04,98.0,87.0,77.0,2401X,PALENCIA,0.0,PALENCIA,5.3,9.4,7.2,5.0,1.4
736.0,33.0,2023-02-02,08:20,16:00,14:50,16:10,07:47,95.0,71.0,49.0,2401X,PALENCIA,0.0,PALENCIA,4.7,12.3,4.6,-3.2,1.1
736.0,24.0,2023-02-03,08:20,15:30,17:50,15:59,07:11,95.0,66.0,37.0,2401X,PALENCIA,0.0,PALENCIA,3.1,14.7,4.0,-6.6,0.8
736.0,4.0,2023-02-04,08:20,16:00,21:20,15:51,07:27,92.0,51.0,23.0,2401X,PALENCIA,0.0,PALENCIA,6.4,17.3,5.4,-6.4,0.8
736.0,5.0,2023-02-05,Varias,Varias,12:30,14:50,00:30,85.0,71.0,59.0,2401X,PALENCIA,0.0,PALENCIA,11.1,10.1,5.8,1.5,2.5
736.0,7.0,2023-02-06,04:00,14:40,15:00,14:22,23:59,88.0,62.0,41.0,2401X,PALENCIA,0.0,PALENCIA,9.7,9.6,4.3,-1.0,2.5
736.0,13.0,2023-02-07,05:40,13:00,21:10,13:34,05:11,94.0,70.0,55.0,2401X,PALENCIA,0.0,PALENCIA,11.7,7.4,1.2,-4.9,2.2
736.0,13.0,2023-02-08,23:20,15:40,11:10,14:27,23:57,92.0,72.0,55.0,2401X,PALENCIA,0.0,PALENCIA,11.1,10.5,4.4,-1.8,1.9
736.0,5.0,2023-02-09,08:30,15:10,12:10,14:09,04:57,98.0,63.0,40.0,2401X,PALENCIA,0.0,PALENCIA,6.7,10.3,2.6,-5.0,1.1
736.0,6.0,2023-02-10,08:10,15:00,14:20,15:16,07:26,95.0,62.0,38.0,2401X,PALENCIA,0.0,PALENCIA,4.4,11.1,2.6,-5.9,0.6
736.0,14.0,2023-02-11,08:40,16:20,16:10,14:50,06:56,94.0,61.0,32.0,2401X,PALENCIA,0.0,PALENCIA,4.2,12.5,2.4,-7.8,0.8
736.0,14.0,2023-02-12,07:40,Varias,12:30,15:08,06:57,91.0,61.0,40.0,2401X,PALENCIA,0.0,PALENCIA,7.5,12.5,3.0,-6.4,1.7
736.0,14.0,2023-02-13,04:00,16:10,13:50,15:32,03:29,90.0,63.0,40.0,2401X,PALENCIA,0.0,PALENCIA,4.2,14.5,5.8,-3.0,1.4
