altitud,dir,fecha,horaHrMax,horaHrMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,provincia,racha,tmax,tmed,tmin,velmedia
1.0,10.0,2026-01-01,Varias,23:10,07:10,Varias,00:28,99.0,98.0,91.0,6056X,SAN ROQUE  ,5.0,CADIZ,8.6,14.9,14.0,13.1,4.2
1.0,10.0,2026-01-02,Varias,Varias,01:00,Varias,06:46,93.0,91.0,88.0,6056X,SAN ROQUE  ,0.0,CADIZ,7.5,15.3,14.7,14.1,1.7
1.0,10.0,2026-01-03,Varias,00:00,23:20,22:36,07:58,99.0,96.0,89.0,6056X,SAN ROQUE  ,53.8,CADIZ,10.0,15.6,14.2,12.8,1.7
1.0,4.0,2026-01-04,Varias,Varias,19:30,00:01,Varias,100.0,99.0,98.0,6056X,SAN ROQUE  ,60.6,CADIZ,19.2,15.4,13.9,12.4,8.9
1.0,26.0,2026-01-05,Varias,15:50,18:50,15:30,23:58,100.0,92.0,81.0,6056X,SAN ROQUE  ,0.0,CADIZ,10.3,16.0,11.8,7.7,3.9
1.0,31.0,2026-01-06,00:00,14:30,06:40,14:14,Varias,90.0,58.0,40.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.5,12.7,8.4,4.2,5.3
1.0,26.0,2026-01-07,23:40,12:40,12:40,Varias,07:28,88.0,66.0,45.0,6056X,SAN ROQUE  ,0.0,CADIZ,11.7,14.5,8.6,2.7,3.1
1.0,28.0,2026-01-08,07:30,15:10,20:40,15:37,06:15,97.0,83.0,70.0,6056X,SAN ROQUE  ,0.0,CADIZ,13.3,16.1,12.4,8.7,3.9
1.0,26.0,2026-01-09,Varias,12:40,04:10,15:09,03:23,92.0,85.0,79.0,6056X,SAN ROQUE  ,0.0,CADIZ,13.3,16.8,13.0,9.1,4.7
1.0,28.0,2026-01-10,Varias,14:20,08:00,14:16,06:05,89.0,73.0,55.0,6056X,SAN ROQUE  ,0.0,CADIZ,10.0,17.3,13.2,9.2,5.6
1.0,28.0,2026-01-11,23:59,15:20,00:30,14:34,07:35,92.0,76.0,58.0,6056X,SAN ROQUE  ,0.0,CADIZ,7.5,16.8,11.8,6.8,1.9
1.0,32.0,2026-01-12,Varias,Varias,05:20,13:37,Varias,96.0,86.0,75.0,6056X,SAN ROQUE  ,1.2,CADIZ,6.4,16.9,11.2,5.5,2.8
1.0,2.0,2026-01-13,09:10,15:40,10:20,14:14,07:43,99.0,92.0,85.0,6056X,SAN ROQUE  ,9.6,CADIZ,5.0,15.9,11.6,7.2,1.1
1.0,28.0,2026-01-14,Varias,14:40,01:00,14:24,23:57,99.0,91.0,80.0,6056X,SAN ROQUE  ,0.0,CADIZ,9.4,15.9,12.8,9.6,2.2
1.0,6.0,2023-02-02,09:00,15:50,09:50,13:43,04:47,93.0,81.0,71.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.3,17.0,11.0,5.1,3.1
1.0,10.0,2023-02-03,Varias,14:10,13:30,11:53,07:13,94.0,79.0,68.0,6056X,SAN ROQUE  ,0.0,CADIZ,7.8,17.0,11.0,4.9,2.5
1.0,3.0,2023-02-04,23:40,12:20,00:50,12:13,23:55,92.0,78.0,65.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.6,17.5,12.3,7.1,2.5
1.0,10.0,2023-02-05,Varias,14:50,15:30,11:20,07:26,94.0,85.0,70.0,6056X,SAN ROQUE  ,0.0,CADIZ,10.6,16.4,10.4,4.3,4.4
1.0,10.0,2023-02-06,01:50,12:50,23:40,12:45,08:01,89.0,78.0,72.0,6056X,SAN ROQUE  ,0.0,CADIZ,9.7,17.8,13.4,9.1,3.1
1.0,6.0,2023-02-07,09:40,01:10,20:20,00:32,13:07,94.0,88.0,77.0,6056X,SAN ROQUE  ,14.6,CADIZ,11.9,14.7,13.0,11.2,4.2
1.0,10.0,2023-02-08,10:10,00:00,19:40,23:32,06:14,95.0,92.0,85.0,6056X,SAN ROQUE  ,25.4,CADIZ,13.9,14.5,13.0,11.4,6.4
1.0,9.0,2023-02-09,04:50,23:10,23:50,10:40,23:53,90.0,85.0,77.0,6056X,SAN ROQUE  ,,CADIZ,18.3,15.9,14.6,13.3,5.6
1.0,9.0,2023-02-14,Varias,Varias,00:30,14:55,02:13,89.0,87.0,84.0,6056X,SAN ROQUE  ,0.0,CADIZ,13.3,14.9,14.5,14.1,4.2
1.0,9.0,2023-02-15,Varias,Varias,11:10,15:13,02:58,89.0,85.0,81.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.5,16.9,15.7,14.5,3.3
1.0,10.0,2023-02-16,21:00,13:50,23:20,13:40,Varias,88.0,82.0,76.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.8,17.5,16.2,14.8,4.7
1.0,9.0,2023-02-17,Varias,07:50,22:40,08:37,Varias,91.0,86.0,80.0,6056X,SAN ROQUE  ,1.2,CADIZ,16.4,15.4,15.0,14.6,5.6
1.0,10.0,2023-02-18,Varias,Varias,02:00,13:51,Varias,90.0,88.0,84.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.8,16.6,15.8,14.9,4.4
1.0,9.0,2023-02-19,21:30,12:20,00:40,14:16,06:49,91.0,87.0,84.0,6056X,SAN ROQUE  ,0.0,CADIZ,9.2,16.8,15.7,14.6,2.8
1.0,99.0,2023-02-20,Varias,13:40,Varias,14:05,04:28,93.0,88.0,83.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.3,17.2,15.9,14.6,2.8
1.0,9.0,2023-02-21,23:59,15:50,10:50,15:37,23:57,95.0,85.0,80.0,6056X,SAN ROQUE  ,0.0,CADIZ,9.2,18.9,15.0,11.1,1.9
1.0,25.0,2023-02-22,08:20,15:50,15:10,15:32,07:14,98.0,78.0,47.0,6056X,SAN ROQUE  ,0.0,CADIZ,9.7,23.3,16.0,8.6,2.8
1.0,25.0,2023-02-23,07:50,23:40,11:20,12:54,06:49,92.0,64.0,47.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.2,18.9,13.6,8.3,3.9
1.0,26.0,2023-02-24,23:59,Varias,16:20,14:59,23:46,76.0,48.0,31.0,6056X,SAN ROQUE  ,4.0,CADIZ,11.4,17.7,12.1,6.5,4.7
1.0,27.0,2023-02-25,08:40,13:10,13:40,13:04,00:10,94.0,75.0,54.0,6056X,SAN ROQUE  ,0.2,CADIZ,12.8,15.7,11.1,6.5,4.2
1.0,27.0,2023-02-26,06:30,13:50,11:50,13:33,05:16,96.0,69.0,49.0,6056X,SAN ROQUE  ,0.0,CADIZ,11.1,18.7,12.8,6.9,4.2
1.0,99.0,2023-02-27,07:20,16:30,Varias,13:32,Varias,87.0,66.0,47.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.8,17.7,13.4,9.2,5.8
1.0,27.0,2023-02-28,01:10,14:10,15:00,14:08,07:10,73.0,45.0,29.0,6056X,SAN ROQUE  ,0.0,CADIZ,11.1,17.6,11.6,5.7,4.2
1.0,26.0,2023-03-01,07:50,Varias,13:40,Varias,06:59,75.0,54.0,33.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.8,17.7,10.8,3.8,5.3
1.0,18.0,2023-03-02,06:20,11:50,16:00,12:11,06:06,81.0,57.0,32.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.3,16.7,10.9,5.1,3.6
1.0,32.0,2023-03-03,23:30,10:40,06:20,15:14,06:12,79.0,65.0,39.0,6056X,SAN ROQUE  ,0.0,CADIZ,6.9,17.4,10.2,3.1,3.9
1.0,6.0,2023-03-04,07:50,Varias,04:00,13:34,03:10,85.0,74.0,65.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.6,16.4,12.4,8.4,3.9
1.0,6.0,2023-03-05,07:20,Varias,02:50,12:37,07:01,91.0,80.0,72.0,6056X,SAN ROQUE  ,0.4,CADIZ,5.8,17.3,12.6,7.8,1.4
1.0,23.0,2023-03-06,Varias,12:40,22:10,12:25,03:41,97.0,91.0,81.0,6056X,SAN ROQUE  ,25.4,CADIZ,8.6,17.5,14.6,11.7,2.5
1.0,28.0,2023-03-07,Varias,14:40,12:30,15:01,Varias,98.0,88.0,78.0,6056X,SAN ROQUE  ,1.6,CADIZ,10.0,19.6,16.9,14.2,3.6
1.0,26.0,2023-03-08,Varias,14:10,14:30,14:04,22:29,96.0,84.0,72.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.5,21.7,18.6,15.4,4.4
1.0,24.0,2023-03-09,Varias,13:30,11:50,13:14,05:52,96.0,87.0,76.0,6056X,SAN ROQUE  ,0.0,CADIZ,13.3,20.3,17.7,15.1,5.0
1.0,28.0,2023-03-10,00:00,13:30,15:30,15:11,06:47,96.0,68.0,52.0,6056X,SAN ROQUE  ,0.0,CADIZ,10.0,24.8,19.4,14.0,5.0
1.0,28.0,2023-03-11,Varias,11:30,14:10,15:10,05:49,81.0,64.0,48.0,6056X,SAN ROQUE  ,0.0,CADIZ,12.5,26.2,20.5,14.8,5.0
1.0,29.0,2023-03-12,23:50,16:00,01:10,15:41,06:46,93.0,70.0,54.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.3,22.1,17.6,13.1,1.4
1.0,28.0,2023-03-13,Varias,12:40,14:10,12:47,06:56,95.0,73.0,58.0,6056X,SAN ROQUE  ,0.0,CADIZ,14.4,24.2,17.2,10.3,5.6
1.0,29.0,2023-03-14,00:00,15:40,03:30,15:38,Varias,90.0,50.0,37.0,6056X,SAN ROQUE  ,0.0,CADIZ,8.9,26.0,19.4,12.9,4.2
1.0,10.0,2023-03-15,20:10,12:20,13:30,12:00,06:17,85.0,75.0,62.0,6056X,SAN ROQUE  ,0.0,CADIZ,7.8,21.1,15.2,9.2,2.5
