altitud,dir,fecha,horaHrMax,horaHrMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,provincia,racha,tmax,tmed,tmin,velmedia
32.0,27.0,2024-07-01,23:50,10:50,14:00,10:45,23:48,94.0,82.0,69.0,6001.0,TARIFA,0.0,CADIZ,9.7,23.0,20.7,18.4,5.3
32.0,9.0,2024-07-02,02:30,23:30,14:00,23:29,02:35,94.0,78.0,38.0,6001.0,TARIFA,0.0,CADIZ,15.3,25.2,21.6,18.1,8.6
32.0,9.0,2024-07-03,04:50,16:40,11:40,13:28,05:16,95.0,45.0,36.0,6001.0,TARIFA,0.0,CADIZ,15.3,28.2,23.0,17.8,8.9
32.0,9.0,2024-07-04,01:50,23:00,13:10,23:05,01:57,87.0,60.0,37.0,6001.0,TARIFA,0.0,CADIZ,18.3,26.6,24.2,21.8,11.1
32.0,9.0,2024-07-05,20:00,00:00,00:50,08:47,23:59,87.0,73.0,42.0,6001.0,TARIFA,0.0,CADIZ,18.1,27.5,24.0,20.5,4.7
32.0,99.0,2024-07-06,23:10,13:00,Varias,13:02,23:49,91.0,77.0,66.0,6001.0,TARIFA,0.0,CADIZ,12.5,23.8,21.8,19.8,6.1
32.0,27.0,2024-07-07,00:10,15:10,17:40,14:38,23:35,91.0,76.0,63.0,6001.0,TARIFA,0.0,CADIZ,10.3,23.0,20.3,17.6,5.0
32.0,28.0,2024-07-08,23:50,15:20,09:30,15:38,05:32,95.0,74.0,55.0,6001.0,TARIFA,0.0,CADIZ,7.2,25.5,20.6,15.7,2.5
32.0,28.0,2024-07-09,03:30,15:10,16:40,14:59,05:33,98.0,83.0,60.0,6001.0,TARIFA,0.0,CADIZ,10.0,24.5,20.2,15.8,2.8
32.0,28.0,2024-07-10,Varias,14:50,01:10,15:09,04:32,97.0,82.0,66.0,6001.0,TARIFA,0.0,CADIZ,6.9,26.4,22.6,18.9,2.5
32.0,28.0,2024-07-11,04:40,21:50,13:10,17:08,02:14,94.0,85.0,74.0,6001.0,TARIFA,0.0,CADIZ,7.8,25.1,22.4,19.6,3.9
32.0,25.0,2024-07-12,06:00,16:10,11:20,12:59,Varias,97.0,84.0,75.0,6001.0,TARIFA,0.0,CADIZ,11.7,24.0,22.2,20.5,6.4
32.0,27.0,2024-07-13,Varias,12:10,17:30,14:13,23:52,96.0,84.0,76.0,6001.0,TARIFA,0.0,CADIZ,8.9,23.9,21.6,19.4,4.7
32.0,28.0,2024-07-14,Varias,14:10,16:00,Varias,02:39,92.0,81.0,70.0,6001.0,TARIFA,0.0,CADIZ,9.7,24.3,21.4,18.4,5.0
32.0,27.0,2024-07-15,Varias,14:20,15:10,11:22,01:28,96.0,85.0,76.0,6001.0,TARIFA,0.0,CADIZ,11.7,24.0,21.7,19.4,6.1
32.0,24.0,2024-07-16,00:00,17:00,15:40,12:09,05:41,96.0,79.0,64.0,6001.0,TARIFA,0.0,CADIZ,10.6,24.6,22.3,20.0,4.2
32.0,8.0,2024-07-17,Varias,09:00,23:50,12:17,05:44,95.0,78.0,54.0,6001.0,TARIFA,0.0,CADIZ,18.1,27.8,22.8,17.7,8.1
32.0,8.0,2024-07-18,00:00,14:50,00:30,14:42,23:44,95.0,87.0,73.0,6001.0,TARIFA,0.0,CADIZ,19.2,26.8,24.8,22.7,10.6
32.0,9.0,2024-07-19,Varias,17:20,00:10,12:34,04:22,99.0,68.0,46.0,6001.0,TARIFA,0.0,CADIZ,15.8,30.5,25.4,20.4,7.8
32.0,26.0,2024-07-20,04:40,16:30,14:50,12:22,03:18,96.0,88.0,74.0,6001.0,TARIFA,0.0,CADIZ,10.6,25.2,22.9,20.6,5.0
32.0,23.0,2024-07-21,23:40,13:30,05:10,13:30,23:24,95.0,82.0,74.0,6001.0,TARIFA,0.0,CADIZ,10.8,24.4,22.2,19.9,6.1
32.0,8.0,2024-07-22,04:50,13:10,18:10,13:13,05:18,96.0,75.0,59.0,6001.0,TARIFA,0.0,CADIZ,19.2,28.4,23.1,17.8,9.2
32.0,99.0,2024-07-23,23:30,12:30,Varias,12:32,23:55,96.0,77.0,67.0,6001.0,TARIFA,0.0,CADIZ,19.4,27.0,24.1,21.2,11.7
32.0,99.0,2024-07-24,Varias,22:00,Varias,16:05,04:16,98.0,84.0,36.0,6001.0,TARIFA,0.0,CADIZ,17.8,26.8,23.8,20.8,10.3
32.0,26.0,2024-07-25,Varias,07:30,16:00,12:54,23:52,94.0,74.0,47.0,6001.0,TARIFA,0.0,CADIZ,10.3,24.9,22.8,20.6,3.3
32.0,30.0,2024-07-26,Varias,14:50,01:50,14:55,21:52,96.0,81.0,72.0,6001.0,TARIFA,0.0,CADIZ,9.2,25.1,22.1,19.1,4.2
32.0,8.0,2024-07-27,04:00,13:30,21:30,13:21,00:56,100.0,76.0,67.0,6001.0,TARIFA,0.0,CADIZ,13.9,27.9,23.0,18.1,6.4
32.0,8.0,2024-07-28,06:00,12:10,18:10,13:42,01:56,92.0,80.0,72.0,6001.0,TARIFA,0.0,CADIZ,21.4,28.3,25.4,22.6,10.8
32.0,8.0,2024-07-29,05:20,11:30,00:10,11:02,23:49,91.0,82.0,69.0,6001.0,TARIFA,0.0,CADIZ,20.0,29.0,26.1,23.2,9.4
32.0,9.0,2024-07-30,04:40,15:10,16:50,14:02,01:45,99.0,74.0,56.0,6001.0,TARIFA,0.0,CADIZ,13.3,30.9,26.2,21.4,3.9
32.0,28.0,2024-07-31,Varias,16:40,15:10,16:41,06:54,99.0,87.0,78.0,6001.0,TARIFA,0.0,CADIZ,8.3,25.3,22.8,20.4,3.1
32.0,28.0,2024-08-01,Varias,14:10,12:20,15:15,Varias,100.0,90.0,79.0,6001.0,TARIFA,0.0,CADIZ,10.0,24.8,22.8,20.7,5.3
32.0,26.0,2024-08-02,Varias,15:10,15:10,13:58,05:45,100.0,85.0,75.0,6001.0,TARIFA,0.0,CADIZ,11.1,24.6,22.5,20.4,4.7
32.0,10.0,2024-08-03,01:00,14:40,23:10,14:41,01:30,99.0,82.0,53.0,6001.0,TARIFA,0.0,CADIZ,8.9,28.7,24.4,20.2,2.8
32.0,10.0,2024-08-04,Varias,12:30,12:30,13:01,02:52,99.0,76.0,65.0,6001.0,TARIFA,0.0,CADIZ,15.3,28.0,24.1,20.2,8.9
32.0,9.0,2024-08-05,Varias,14:40,00:40,14:45,21:53,99.0,79.0,54.0,6001.0,TARIFA,0.0,CADIZ,11.9,29.8,25.6,21.5,4.4
